,clean_review,cat_id
28,hey buddy  nJust a reminder that your service expires tomorrow  n nbefore you send payment please notify me FIRST   wait for a REPLY  before doing so ,3
29,Erin This Hakim A  I am with underwriting  I am checking regarding your recent submission  Your eSignDocs are currently ready for you  They need to be completed today in order to process your request before the end of the weekend so it can be available Monday morning  If for some reason your docs are not showing properly kindly start over  Please view your documents here  ymvjutzcnt com  NUMKEY    If you would not like to receive future notices you can reply Stop ,3
30,Tap to access your Instagram account http,3
31,Cash App           NUMKEY has been unlinked from your Cash App account,3
32,PayPal Thanks for confirming your phone number  Log in or get the app to manage settings http,2
33,http Password change attempt from US  Tap link to respond ,3
34,VERFY Viola Your app is expired  n  Start a new one http Reply Stop to cancel ,3
35,Received Photo http,3
36,Voice message received  Click the link to play http  ,3
37,Received photo http  ,3
38,Mark Sir     pills Tramadol    mg Jpdol Blister for     dollars with US to US shipping ,1
39,Hello David this is Alina from online pharmacy  n nPrice for cenforce sildenafil citrate     mg India to AUS  delivery     to    days n    pills    AUD n    pills     AUD n    pills     AUD n    pills     AUD nWe can also supply Xanax         mg Adderall    Oxy       Hydro Perco ValiumAtivan AmbienClonazepam TramadolSomaTapentadol Etizolam and all ED pills  nRegards nAlina nPh   NUMKEY  signal telegram whatsapp  For quick response n NUMKEY  callstext ,1
40,      st brooklyn NY NUMKEY    $ service ,1
41,Hampton inn    W Main St Elmsford NY NUMKEY nNew arrived Bbbj Cim  n    half     hour,1
42,Beautiful You Mic Holiday BODY CONTOURING promo this month  If you haven t booked a consultation yet Book Here smsu io zOs E Reply STOP to opt out,0
43,Hibbett Launch adidas Yeezy Boost     V   Beluga RF  shoes drop        n nSee style   enter raffles for chance to buy nhttp,0
44,Blu New Programs of NUMKEY are Now Live  Get the Help You Deserve n nAvailable Here  http Stop to en,0
45,Pawz Doggone It   n nLast call for FREE Standard Delivery on Any Order $  ,0
46,FENTY BEAUTY   FENTY SKIN Cleanse exfoliate with Pre Show Glow tone and hydrate with sun protection for glowing makeup ready skin  SHOP NOW http,0
47,Brooks Brothers  n nSave     Today only during the Gifting Agenda Event n n    off all Outerwear n nShop Men http  nShop Women http,0
48,fresh Green Monday gifting event  nGet     OFF   complimentary   day shipping  nNow through        nShop now http,0
49,Gram Central Station r n    N Avalon Blvd r n        NUMKEY r n r n$ text,0
50,Click the link to see your discounted deals for Econo Lodge Inn   Suites Corpus Christi from Dec      Dec       night  n http   we also have deals that are too good for anywhere else  For our unpublished prices click here n http,0
51,Adam   Eve CONFIRMED You have $ end,0
52,SS DELICIOUS DELIVERY Marcus  Get a national FOOD Delivery GIFT CARD before it s GONE  Claim now http Stop to Opt Out,0
53,q   C n nGet in quick our Pre Xmas Delivery Guarantee ends tonight order now to get it before Xmas or it s on us  T C s apply   n nSTOP to opt out,0
54,ABA Hi michael Want to earn a $ End,0
55,WagerPro s     Guarantee or The Rest of the NFL Regular Season is FREE  n n  ers vs Bengals nBills vs Bucs nGiants vs Chargers n n$ http,0
56,SPN Happy Holiday s Stephanie and Thank You for your Loyalty  n nRedeem Your $ End,0
57,Lulus LAST DAY TO SPIN  Make your final spin to win up to     off sitewide  xoxo http,0
58,Pawz Free Shipping   Delivered in time for Xmas  It s PAWFECT   n nUse code XMAS for     OFF any orders $  ,0
59,The GLD Shop Just in time for Gifting SZN       OFF ALL Women s Jewelry  TODAY ONLY  Use code DAY  to treat her to something nice this year   http,0
60,We ve found you a new dog transport from Denver CO to Austin TX  Bid or message now http,0
61,FragranceNet let it  SALE  let it  SALE  let it  SALE  n nEXTRA     OFF n  FREE EXPRESS SHIPPING  OVER $      ,0
62,FrankSpeech Thank You For Your Support   n nMike s Book   Roll   GoAnywhere MyPillow Reg $ FS   n nClick nhttp,0
63,FragranceNet Ho ho HALF OFF department store prices  n nSave        off designer fragrances for women and men now http  ,0
64,HealthPlans   Days Left  Click  http  or call NUMKEY to find short term UnitedHealthcare plans now  Txt STOP to OptOut,0
65,Join us TONIGHT for our PrideLine Cocktail party  Call          NUMKEY and talk to Local Guys in Tampa   Text STOP to unsubscribe ,0
66,There are     Local Guys in Cleveland on line right Now  Dial          NUMKEY and Connect   Text STOP to unsubscribe ,0
67,FlexShopper Hey Katie  Shop NOW for savings on Blair Tech favorites  Great deals just a click away it ends today http STOP to opt out,0
68,AFTERPAY   holiday shopping made easy  Buy now   pay later on everything you need  n nOnline   The Children s Place n nTap here nhttp,0
69,Avo Don t let a gift go to waste Jerry  Last chance to save $ http,0
70,Capital One A chrge or hold for $ apply,2
71,Do you know how much you spent in November  Check out your Month in Review mission to see how you did  albert com app  t oh un n ,2
72,Hi melinda murray  Your $ texts ,2
73,Afterpay Alert Your $ afterpay com ,2
74,Bank of America Available balance for account NUMKEY is at or below        on       NUMKEY  Go online for details ,2
75,Good news  A refund was issued for Walmart order NUMKEY  We ll send you an email for your records  Reply HELP for info  STOP to opt out,2
76,Cash App ATM Cash Out of $ App ,2
77,Cash App Jimmy Rosendahl requested $ decline,2
78,Your SunTrust NUMKEY balance as of       NUMKEY     AM is  NUMKEY     Reply STOP to stop all texts ,2
79,        available after        purchase at MCDONALD S MNUMKEY OF N on       NUMKEYPM CT with your Netspend card ending in NUMKEY  Reply STOP to stop msgs,2
80,Delivered Your DoorDash order  Details at http,2
81,Maggiano s Little Italy has confirmed your order from DoorDash  We ll let you know when your Dasher has picked up your order ,2
82,Cash App Toby Duch sent you $ http,2
83,Citi Alert As of          your acct ending in NUMKEY had an available balance of $ citi com citimobileapp ,2
84,Cash App Your withdrawal of NUMKEY BTC is now confirmed on the blockchain ,2
85,Honey where are you honey did you get my voice message   ,3
86,It s me Rev Michael Douglass I want to ask you when are you getting your ATM card,3
87,Shouldn t be far from me  Wow I think I m lucky to call you that  Luckiest me  Thanks for telling you made me smile  ,3
88,Sunday Dec   th we will be open   am to  pm we will be doing pawn extentions and redemptions layaways and a whole bunch of sales   Pawn King come and see us  ,3
89,It bother me a little when you cut me right off last evening   Didn t want to give me any time  ,3
90,I m up near the Cordova Mall right now   Hhr visit works ,3
91,It worked but I sold it as opposed to sending it      ,3
92,I am So HAPPY WE FINALLY GOT TO TALK BABY   MY MOM DID GOOD THRU THE NIGHTSO I HOPE N PRAY SHE WILL BE OK NOW       ,3
93,My wife is also asking I retire to be with her and the family more often especially because of her failing health but I ve told her that we must finish and make this grant money a success and then eveybody will have a happy ending and that s what am committed to,3
94,And nah I live in Malden now but I work in Cambridge ,3
95,How was your night  I hope you slept well and you dream about me,3
96,n why i wanted to talk once over voice when nkt chewing n befofe u go bed when ur mind clear when u liked two times u not on but we talked n when u n i had good talk n i didnt care u married did i no  but why i wait u didnt wait u not saving to get back or somewherr n fight for us to be together it takes two not me n it starts with u since it is cuz of u  n u wasting time n it not choice i not ur kids first or nothing n u shown for years we nothing n yea if i jsut wat u give her money not me ur kids we helped u so u knlw truth  n i not tlak this way  i be supportave i be there but its u not for me or them  u pick up nope if she not u use to why i knew that so stop  playing u wanna u would lewve n tlak everh night as ur word n we be togetber soon but u dont want that so u lost us  will me but i know they know cuz u made n when mind striagt u even know why u  cried n its not u its us too u think u only,3
97,Been to a whole lot of countries in Europe and Asia,3
98,Why are you ignoring my messages or did he ask you not to tell or show me anything,3
99,Possibility for showing will be till   th December cuz we have a present tenant there and we have to protect the privacy policy signed but you can drive down to the property to see the place from outside  and also check the neighborhood ahead of time,3
100,I like to travel but have only been to Canada and that doesn t really count as being out of the country lol ,3
101,I do know that but I also know I just need verification that s it is      legit  I am still interested I  This property see ya tomorrow ,3
102,Alright  I will like to pay a visit as soon as we get to know each other well and willing to relocate as well ,3
103,Tell me please the truth because it s becoming obviously obvious that you are giving your weekend to someone else  Just let me go it s better for me and you ,3
104,Do you think you could get away on a Friday night   stay till Sunday evening   ,3
105,Scratch the card open before send just like itunes  Can you remember same way you scratch and send itunes gift card ,3
106,it s plain u stop coming around me calling keeping me blocked,3
107,Good night my precious  I need you naked in my bed  ,3
108,I will get everything together I do not wish this on no one it is bad to have Covid,3
109,Yes I know it s hard love and you are my soulmate love,3
110,I boiled some eggs after she left an have    for dinner with some cottage cheese,3
111,Good night Chris  nSorry for the late response I have been working long hours and I sleep most of the day night and now I m back up getting ready for work tonight  Good night take care ,3
112,love ayoko na leave ayoko na other account ayoo  na other di ko fight I love you so much please on  ,3
113,Shelley   Kim left for Huntsville AL today for work     you might not hear back right away,3
114,It s been crazy windy here all day  At least we didn t get the tornadoes some of the states did ,3
115,Don t know yet I am waiting to hear from my company,3
116,hi sorry to bother you but this number was mine and I have some accounts connected to it I just found out telos deleted it for me please all I need is the code that was sent to it so I could reset my number,3
117,I don t share custody with my Son Jack   I adopted him after my divorce but then two years later my ex fell Ill and the man who deceived her into being with him absconded and we discovered he was only a fraud,3
118,I ve been watching it on tv because I have a cold and can t go to church ,3
119,Bitch u annoying with yo lying ass talking about you be home when all along u been in or be in Island Estates  u Fuccin liar,3
120,plus just curious what ud make him do for urself if I didn t give ideas it ll show what ur into but just don t want him knowing I brought it up hahalol,3
121,brother this Cal give me a call whenever you can it s very important it s about BDz,3
122,   Not me you   I have never known anyone who wouldn t prefer to actually talk to someone the     love      now i know why   ,3
123,Ok miss me w the over emotional psycho babble bullshit ya hot head  When all I m doing is telling u how it looks to a third party that wasn t there to witness it first hand kinda like how a judge would have to look at it on the police report  But if ya can t take it then don t talk to me about it   shit if ya get some sense,3
124,Ok I will forget to reply to my message when I am busy  You reply to my message on Skype ,3
125,Wish you were here so we could make love all day long   ,3
126,Hi Matt  Day is good so far here  Just finished cooking my hard boiled eggs   exciting I know  I hope your day is going well Matt and that your ears are improving  And that you re not stuck in front of the computer all day  Daydreaming of you Matt      XXXOOO XXXOOO XXXOOO ,3
127,Ask Frankie baby  He will tell you  He s a fucking afraid he went underground  There be I already told me that  We re right out of the FBI s mouth  Anyways and they did congratulate me on all my findings on your boys hahaha  They encourage me to take my own stand into And to defend my own self  I m doing an excellent job of keeping you boys out of the loop  But now we were supposed to do this tonight everybody gets involved in the conversation Because that s the law that s the way we do it that s how we re supposed to do it boys  So nightynightss let the bug Bite you  ,3
128,    nI tried to bring you food yesterday  nWhen I go back out I might bring u some  nI m taking care of   babies   helping out a old man over here  nChill on the bullshit  nI left peaceful   I m staying peaceful  n  U never gave me money  nI made sure it went where it needed to go  nGo pray to God and find you some peace  Tell my kids I Love Them ,3
129,Just do not cheat all I will ever ask of you  That would destroy me  ,3
130,Or the one on Plymouth and outer dr it s cheaper think it s    or   ,3
131,Justine on bikerplanet you just gave me your info and my profile is been removed because we you sent me your number on it ,3
132,Hey Jamie my back right rim has a crack in it and I m at a tire shop because I thought it was the tire but it s the rim  ,3
133,Oh ok   my uncle would travel around to different rigs if they were having problems and tell th how to fix the problem or fix it himself,3
134,Have any of our PCH agent inform you that you are our  nd prize winner ,3
135,What did you mean  nYou just told me you fine someone else,3
136,You havesuchaptetty smile in both pic  don t wait to long to call me  my ears are becking for you,3
137,So u should just go back home where I ll be waiting to beat ur ass u pussy bitch ,3
138,YOU REALLY DONT HAVE TO ITS LATE AND U DONT NEED TO BE OUT IN THE STREETS This is the time when crazy is out ,3
139,Yes I m fine just busy to snd waiting for friend to come in ,3
140,Headed to pigeon forge Tn within    minutes driving   hour s,3
141,for a half hour an hour is     or     extended menu,3
142,Jpopol   hotmail com n  ballymeade rd  nhopewell junction ny NUMKEY,3
143,Flag section hour excite flee system recall wage praise nephew core emotion,3
144,Check out this property via Trulia Mobile app http,0
145,NYC Vital Records n      NUMKEY  nNUMKEY AM n    Worth St NY NY nID     NUMKEY n nSee email for add l info  nCancel Appt  http,3
146,Dasher Plans today  Just a reminder that you can earn an extra $ www doordash com dasher open app ,3
147,Use NUMKEY for two factor authentication on Facebook ,3
148,NUMKEY is your Amazon OTP  Don t share it with anyone ,3
149,BWBooks Gift sustainably with pre loved books  Get     off   or more used books   FREE expedited shipping  Shop Here http,0
150,Use the code  NUMKEY  on WeChat to log in to your account  Don t forward the code ,3
151,Daily Steals $ http,0
152,Use the code  NUMKEY  on WeChat to log in to your account  Don t forward the code ,3
153,COINS ALERT You are attempting to send NUMKEY BTC to   GsnSdtHHArbB tNLXry w  B LLfWd S  Use this code to confirm NUMKEY  Not you  Contact Coins support ,3
154,Daily Steals $ http,0
155,Cash App Your $ it,2
156, Binance  P P Order NUMKEY will expire in   mins  Pay and click  Transferred next  on the order detail page fail to do so may result in financial loss ,3
157,These are a few of my favorite deals      n n  Christmas Clearance at Walmart nhttp Klein Rings $ Lowe s nhttp,0
158,SS DELICIOUS DELIVERY Alan  Get a national FOOD Delivery GIFT CARD before it s GONE  Claim now http Stop to Opt Out,0
159,EPO OMG   You can WIN  NUMKEY TODAY Instantly  n nEnter to WIN n   http   n n nTxt Stop to end,0
160,maurices MYSTERY SALE  You could get up to     off everything including new arrivals  n nREVEAL DEAL http apply  STOP end,0
161,   BIGO LIVE code NUMKEY  Don t share it with others  HO Fu AtmTf,3
162,Chipotle We didn t quite catch that  Need help  You can reach us at http Text STOP to quit ,0
163,Amazon Driver Chat This is a message from your Amazon delivery driver  n nTap here to reply http,2
164,    Your Viber code NUMKEY nGetting this message by mistake  nhttp,3
165,For the payment Sir you don t need to provide your Credit card information for your own safety  We will send you a payment link in your Active Email Address  You will be the one to process your payment ,2
166,K G Last day for this holi deal  Take an EXTRA     off ALL clearance   $ STOP quit,0
167,Pawz Doggone It   n nLast call for FREE Standard Delivery on Any Order $  ,0
168,Enter your code on the PayPal website  CODE NUMKEY  Msg and data rates may apply ,3
169,Passcode for your Bank of America EDD Debit Card is NUMKEY  Questions         NUMKEY  Std  rates may apply ,3
170,Due to insufficient funds in your Albert Cash account your transaction was declined n n$ CA ,2
171,Morning Juliette  I hope you are having an amazing Sunday morning  I came across your profile on LinkedIn and it amazes me  So I decided to reach out to you to ensure you are doing well  God bless you rRegards rKevin,0
172,ADL Request to get upto $ freq vary,1
173,Talk with     Local Guys in Ocala who are on line  Call          NUMKEY and Connect   Text STOP to unsubscribe ,0
174,kidpik   Give the    gift that keeps on giving all year long  nSign up today and get     off  nhttp kidpik gift cards are the perfect gift for everyone on your list  nhttp,0
175,LOT CHART  nHi Ammelia Are you tired of applying for a loan  nYou ve a GREAT chance to get approved n nPlease visit  bit ly  DPsXFZ n nOpt out reply STOP,1
176,http Account data access attempt from TX US  Tap link to respond ,3
177,PayPal Thanks for confirming your phone number  Log in or get the app to manage settings http,3
178,FrankSpeech Thank You For Your Support   n nMike s Book   Roll   GoAnywhere MyPillow Reg $ FS   n nClick nhttp,0
179,CHIME Did you try to use your Chime card ending NUMKEY for $ NO ,2
180,Enter your code on the PayPal website  CODE NUMKEY  Msg and data rates may apply  Reply HELP for help STOP to cancel ,3
181,Get a $ cancel,1
182,New opportunity Emmanuel D  needs Software Development  remote   View in app thmtk com v cjfsO  on web thmtk com SU x v B,0
183,FragranceNet let it  SALE  let it  SALE  let it  SALE  n nEXTRA     OFF n  FREE EXPRESS SHIPPING  OVER $      ,0
184,    Your WhatsApp Business code         n nYou can also tap this link to verify your phone b whatsapp com NUMKEY n nDon t share this code with others nrJbA XP K V,3
185,Avo Don t let a gift go to waste June  Last chance to save $ http,0
186,Relief Benefits Deadline Approaching to Receive Holiday Aid for Your Family  n nReview Your Assistance Programs Before They Expire   nhttp,1
187,VERFY Lisa Your       app is confirmed  nTo continue http Reply Stop to cancel ,0
188,FlexShopper Hey Robert  Shop NOW for savings on Blair Tech favorites  Great deals just a click away it ends today http STOP to opt out,0
189,    Your WhatsApp Business code         n nYou can also tap this link to verify your phone b whatsapp com NUMKEY n nDon t share this code with others nrJbA XP K V,3
190,you play games   i share with everyone i swear to god,3
191,Don  don  send your money please so I can pick up your blankets  they are ready for pick up ,3
192,Idk    Honestly a MO area code     Never can understand your phone calls ,3
193,GTL AdvPay LowBal Alert Please confirm Alerts opt in by replying ACCEPT Reply HELP for HELP STOP to cancel Msg Data Rates May Apply,0
194,Please share this with Patsy   These cookies are amazing ,3
195,The only way I know how to get your info is to scan a qr code off your phone ,3
196,Likewise stupid  nYou got like a thousand cocks on your phone,3
197,Hi Mubashar Raza Your Kyshi device authorisation code is NUMKEY,3
198,The New Light Encounter is on facebook  NewLightCC YouTube   streaming live Now  Click bit ly  O Ubyv to join  Reply HELP for help  Reply STOP to cancel ,0
199,He said this ain t your AC unit       ,3
200,Missing you more Benson looking forward to seeing  your handsome f,3
201,Chase Mobile nYour codeNUMKEY nReply HELP for Help nMsg   data rates may Apply nchase com mobile n,3
202,hello morning Cynthia this is your winning prize coordinator I need your attention online on WhatsApp,3
203,Use NUMKEY as your OTP to verify your phone number for Magic Call,3
204,Code Blue THE CODE BLUE SHELTER IS CLOSED TONIGHT SUNDAY DECEMBER    NUMKEY ,3
205,GETTINGOUT Welcome Veronica Lopez  veronicaa lopezz yahoo com   REPLY     to confirm your    Reply HELP for help or call         NUMKEY  Msg data rates may appl,3
206,  Sexy Questions to Get to Know Your Lover by Demeter Delune http,0
207,NUMKEY is your one time Amex Personal Savings Identification Code  Enter online at prompt or in password field at log on ,3
208,Oh your in California area code now     is by the marine base,3
209,Sorry bae  n     I mistakenly sent a code to ur number,3
210,           Facebook for iPhone           NUMKEY,3
211,CoStar Protect  More help at support costar com or         NUMKEY    msgs month  Msg Data rates may apply  Reply STOP to cancel ,0
212,Code NUMKEY  Be ready for handover    pcs  in   min  Silver Skoda Superb   BUNUMKEY ,3
213,Student random Share with your families  rmd me mV Rc FIjWQ n  nTap the link above for attachment,0
214,Topgolf Your one time validation code is NUMKEY  This code will expire in    minutes ,3
215,Check your phone to see if you receive any code from Facebook officials,3
216,Baby pls check there s a code sent to your number,3
217,SHILOH MEDICAL GROUP This is a reminder that JAMES has an appt with Dr AKINWUMI ALADESAWE at SHILOH MEDICAL GROUP   TAMPA on Monday       NUMKEY at NUMKEYpm   Call           NUMKEY to cancel or reschedule     Msg data rates may apply  To Confirm reply Y or Yes   n nTo stop receiving these messages reply STOP  Msg Data rates may apply ,3
218,I seen your coyze website  And im guessing your purses are replicas ,3
219,Welcome to Empower  We re excited to help you unlock your financial potential  r nMessage and data rates may apply  Message frequency varies  r nReply HELP for help  r nReply STOP to opt out  r nEmail help empower me for support ,1
220,Babe the Facebook guy called said he got some authorization code from your Facebook,3
221,NUMKEY is the one time passcode you need to verify your phone number in the Roll app  This code will expire in    minutes  Message and data rates may apply ,3
222,Welcome to Mercuryo  Your signup code is NUMKEY  Have a nice day  ,3
223,Dear Customer NUMKEY is the OTP to confirm your ICICI Bank Money India registration  OTPs are SECRET  DO NOT disclose it to anyone  Bank NEVER asks for OTP ,3
224,Please use NUMKEY code for Wi Fi connection For Help Call                   B   ,3
225,OTP is code required to complete each transfer of any fund from your account without the OTP no transfer will be successful,3
226,What are your plans to solve issues with Deutsche Bank London sir ,3
227,Hi GUSTAVO this is a reminder that tomorrow is your last chance to claim your   $ cancel,3
228,SECURITY ALERT NEVER REVEAL THIS CODE TO ANYONE  Your Digital Banking passcode is NUMKEY it expires in    minutes  Contact us if you didn t request it ,3
229,NUMKEY is your Lovestruck code  Please enter this now to sign into your account ,3
230,Hi Troy this is Qwick  You applied to work with us back in October of this year on Indeed  n nMsg data rates may apply  Text  STOP  to quit ,3
231,I was curious because your area code for your phone number says that is an Arizona area code,3
232,    VK NUMKEY   use this code to activate your VK profile  nqkASxAkMJOE,3
233,    This OTP is for signup  DON T SHARE IT WITH ANYONE even to Gojek or they ll be able to use your account  OTP NUMKEY http  PKeZqV ubl,3
234,Please input the code NUMKEY in the registration form ,3
235,Zoom Church Link   AM Est n nhttp ID         NUMKEY n n nYou can tune in on the Zoom app phone or your web browser  Just use the link and ID ,3
236,    Betabrand nLast Chance For Denim Deals    Use code JEANLUV for,0
237,are you not happy to use this your package to celebrate your Christmas ,3
238,STL Food Share   Super big share today n  nText back to reply,0
239,USPS Text Tracking nReply YES to approve  nStd Msg Data Rates May Apply  nUp to    tracking events  nReply HELP   help or nSTOP to cancel ,2
240,Bluebird You re enrolled for Bluebird Text Alerts for Account ending in NUMKEY  Save NUMKEY to your contact list  Msg frqncy depends on acct and prfs  Msg Data Rates May Apply  Reply HELP for help STOP to cancel ,3
241,Sweetheart I m here  I m thinking   I don t ever want to share you with anyone,3
242,Thanks for the message  Configure your number s SMS URL to change this message Reply HELP for help Reply STOP to unsubscribe Msg Data rates may apply ,3
243,I don t use an alarm either    I ve got a biological clock ,3
244,I don t know  nOnce I reach your house  nYou open your box and start making use of your money,3
245,    NUMKEY               Facebook        nH  Q Fsn Sr,3
246,Merrill Lynch Your authorization code is NUMKEY  It expires in    minutes  Message and data rates may apply  Reply HELP for help STOP to cancel ,3
247,Enter your PIN NUMKEY to verify your registration  n nHappy sending nMessageMedia,3
248,Hii I got this essay due Tuesday I could use your help w if you re available ,3
249,Thanks for joining  SharperImage com Alerts  Msg freq varies by use  Reply HELP for HELP Reply STOP to CANCEL Msg Data Rates May Apply,3
250,Every single problem with this was caused by your people,3
251,Your AFC Economic Impact Payments    One Time Pass Code is NUMKEY   Only valid for   mins ,3
252,I m Christian I don t smoke  I drink occasionally,3
253,But your area code is     Arizona s area code is NUMKEY n nSo wat part of Arizona,3
254,This is sad though  How s your mail with support going ,3
255,I want you to use your card to help your family Christmas,3
256,ClTl BANK  NUMKEY Is the one time code please enter the code to authorized this transacti n if you don t request this code visit  http or nearest citi branch,3
257, CoinCola  Adding your email  Code is NUMKEY  Valid for   min ,3
258,Sorry we are going to use another contractor  Thanks for your time ,3
259,Good morning   Are you ready for code n   Natashia PhD,3
260,flight number DLNUMKEY njourney date Mon Dec    ndeparture time    pm Toarrival time    pm ncabin nameMain ndeparture airport code JFKToarrival airport code ORD nnumber of stops NonstopOne Way Flight Details ndeparts on     pm ndeparts from nJFK nNew York Kennedy NY nTerminal Terminal   njourney duration  h   m narrive to nORD nChicago Ohare IL nTerminal Terminal   narrives on     pm nFLIGHT NUMBER DLNUMKEY OPENS IN NEW POPUP nAIRCRAFT TYPE EMBRAER     nOperated by  Republic Airways DBA Delta Connection,3
261,Roget  Shaw  is inviting you to play Gala Games  Referral code   b  dc aNUMKEYa af  f dbd n nOwn your game play  http,0
262,Ok opening Binance account without a referral code ,3
263,Welcome to the Amazon Seller text messaging service  Charges may apply based on account activities  Reply STOP to cancel  Reply HELP for other options ,3
264,Welcome To  M        O     nwe are so rry t o say th at Your acco unt Log in outh er dev ice  We need to re  ve rify your account Y our verific ation Code is  NUMKEY nPlease secure your acc ount Admin link http your accoun t safe  Please Stay with  nThank you nMegaPerso nal  s       t   ,3
265,Banner Bank Banner Bank Security Alert a valid password for your login ID was submitted  Questions  Visit www bannerbank com securityalert ,3
266,I don t  care mate I m done with this shit   this hole this is a rip off sorry,3
267,Australia Post Alice Code Expired Kindly reply back with the new code ,3
268, Eatgether Your verify code is NUMKEY   This message is sent by the system do not reply to the message please ,3
269,Hello from Angi Leads  Use this number to text your lead Evonne,3
270,Simplifi alert You ve set up an account with this phone number  Please use this link to verify  n nhttp,3
271,Good   pls share payment receipt for reference purpose   Thanks,3
272,Payment  Code NUMKEY  Amount        RUB  Recipient OOO NIKA  Keep the code secret ,3
273,I use iPad to take pictures that s why I mostly use emails,3
274,Use verificaton code NUMKEY to log into account             Please complete the verification process as soon as possible this code will expire in   minutes ,3
275,AAASERVICE Alert We have rec d your service request  NUMKEY Msg freq depends on user Msg Data Rates May Apply Reply STOP to cancel txts  HELP for help w txt ,3
276,H E B Reply Y or Yes to confirm your subscription to order status alerts  Message and data rates may apply  Message frequency may vary  Reply HELP for help ,3
277,I Don t tolerate lies nThe laws is there to punish anyone trying to impersonate another person without permission,3
278,total     I don t share well  Faithful with God also ,3
279,Welcome to Mercari SMS notifications  Reply STOP to unsubscribe  For help contact Mercari support at http   Message and data rates may apply ,3
280,SmileDirectClub Thank you for subscribing to SmileDirectClub  Msg and Data rates may apply  Msg frq may vary  Reply HELP for help STOP to cancel  n nDon t forget to save our contact for exclusive updates ,3
281,hims Christopher thanks for submitting your visit  your information is being reviewed by a healthcare provider now  keep an eye out for a message from them shortly   n nMsg Data rates may apply  Reply STOP to cancel or HELP for assistance ,3
282,Your HSBC appointment is booked for NUMKEY PM GMT on Dec    NUMKEY with Kristine Holopainen at Phone Call  We look forward to meeting with you  Reply STOP to end HELP for help  Msg Data rates may apply ,3
283,Your Apple Pay unique ID code is NUMKEY  Code should be used for your device only  Type HELP for assistance or STOP to opt out  MSG data rates may apply ,3
284,Welcome to MDG Account Alerts  Receive up to   msgs month  Reply STOP to cancel HELP for help or call           NUMKEY  Msg data rates may apply ,3
285,I ll send the code to your email honey     ,3
286,Google play download Google pay  Use is only for medicine and the doctor   Also you need to log on to American express to validate your cc before use,3
287,Welcome to SMS messages from Square   Reply w   HELP  for more or  END  to unsubscribe from receiving messages std rates apply,3
288,        NUMKEY           Facebook               Laz nxCarLW  ,3
289,So Facebook placed her account on review to validate her documentation to run a business page on Facebook,3
290,Did you receive code on your phone from the loan company,3
291,ing part in the No Risk Bet promotion  nYour promo code kixiygz  nYo,0
292,I don t change share room with you  because I like your character ,3
293,This is Kathy Chuck  Thank you for your phone number ,3
294,PayPal You sent $ http,2
295,PAWN This mobile   is verified to rcv reminder msgs about a pawn loan acct nMsg Data rates may apply nReply STOP to cancel msgs HELP for info,3
